text_cleaned,label,correct,Demografi,Ekonomi,Geografi,Ideologi,Pertahanan dan Keamanan,Politik,Sosial Budaya,Sumber Daya Alam
ketua tim kampanye daerah tkd amin sumbar rahmat saleh optimistis aniesmuhaimin meraih 80 persen suara sumbar lumbung suara prabowo pilpres 2019,Politik,43,5,1,4,1,0,43,2,0
calon presiden ri no urut 3 ganjar pranowo konstitusi aturan dasar negara mainmain dijaga,Ideologi,51,0,0,0,51,5,0,0,0
prabowo gibran lanjutkan pembangunan presiden jokowi indonesia,Politik,41,5,0,1,1,0,41,5,3
bukti anies melawan pp362021 turunan omnibuslaw kaum buruh amp petani dianjurkan pilih anies muhaimin karna ngak berani koreksi omnibuslaw sialan,Politik,36,2,0,2,0,1,36,13,2
brosis tanggal 14 februari couple nyoblos yuk pilih capres ganjar pranowo,Politik,43,0,9,0,1,2,43,1,0
ngeri prediksi denny siregar nasib keluarga jokowi prabowo gibran kalah pilpres 2024,Politik,50,2,0,0,0,0,50,2,2
gus sadad dukungan prabowogibran jatim terbendung prabowogibran,Politik,42,3,0,1,1,1,42,8,0
calon presiden ri no urut 3 ganjar pranowo konstitusi aturan dasar negara mainmain dijaga,Ideologi,46,0,0,0,46,7,3,0,0
kemhan rampung pesan 42 jet tempur rafale gaduh anies prabowo beli alutsista bekas,Politik,30,3,0,4,3,8,30,8,0
pilih prabowo simak selesai,Politik,45,3,0,0,3,2,45,3,0
lupa pemilu 2024 pilih benerbener peduli perempuan buruh pilih ganjar pranowo mahfud md,Ideologi,2,1,9,0,2,0,42,2,0
ayo teman2 ngoyo lemah ajak ajak calon coba coba cari jalan berkuasa mari prabowo disiapkan sejarah menyatukan bangsa menerbangkan nya angkasa rajawali,Politik,37,2,6,0,2,2,37,4,3
tangan prabowo penuh dosasiapapun kompromi ketularan sial 2014 partai koalisi wowo ancur persatu 2019 nggandeng 212 apes ambyar semua2024 giliran mukidi anak2nya will see,Politik,35,2,3,9,0,1,35,5,1
kapitalisme neoliberal cocok indonesia prabowo kalimantan,Ideologi,44,0,1,3,44,2,3,2,1
terang danau buatan jakarta selatan depok pendampingan air hujan salah karya inovatif gubenur anies baswedan rekam jejak,Sumber Daya Alam,48,1,0,0,0,1,0,6,48
desak anies perempuan lingkungan hidup agraria a thread,Sosial Budaya,46,0,0,4,0,0,4,46,2
menjelang malam ucapkan terima kasih prabowo apatis memutuskan mengikuti pembahasan pilpres kali merelakan periode dipimpin prabowo pemilih pendukung penasaran kepemimpinan prabowo berkalikali pilpres suaraku bentuk dukungan membuka kesempatan beliau memimpin negeri ramai pembahasan pelanggaran etik mk ketrigger mencari informasi mendeklarasikan tweet terserah pilih 02 merenung tergerak mencari kupikir adil berstatemen mencari pasangan calon golput pilpres kali mencari menimbangnimbang nilainilai hakhak kuperjuangkan condong anies baswedan memperhitungkan anies baswedan kupikir pilpres kali pertarungan prabowo ganjar kucari cocok anies kuputuskan mendukungnya mendukung pemilih kuputuskan membicarakan anies sosial media menjelekjelekkan salah paslon pendukung anies garis keras orang terganggu menentang pelanggaran etik tergerak mencari condong salah paslon salah paslon meresahkan tindaktanduknya terindikasi kuasakuasa negara presiden pejabatpejabat gatal berkomentar peduli pilpres kali ketrigger prilaku niretika salah paslon berkuasa ucapkan terima kasih prabowo karenanyalah mencari informasiinformasi berkaitan pemilu berani bersuara menyuarakan pilihanku ketidaksukaanku pelanggaranpelanggaran pendukung garis geras anies baswedan hadir paslon pelanggaran etik berkuasa negeri selamat malam,Ideologi,45,3,0,0,45,0,3,1,4
01 desak anies 03 tabrak prof memuji program bagus demokrasi menurutku program nggak kreatif sih nyontek programnya 02 desak paman tabrak konstitusi,Politik,28,3,2,3,7,6,28,7,0
prabowo rizal ramli menghormati pilihan idealisme jalan masingmasing prabowo subianto,Politik,41,1,0,1,0,6,41,3,4
optimisme prabowo memenangkan hati jabar program positif rakyat berbuatbaik untukmasyarakat,Politik,38,5,5,0,3,5,38,0,0
21 program ganjarmahfud u entaskan kemiskinan utama ktp sakti ganjarmahfud 1 ktp u manfaat u petani nelayan buruh milenial genz umkm bumil dll kasih kerjaan 17 jt rakyat bangun 10 jt umah u miskin smkn gratis nginep makan 3 th kerja disalurkan slm negri 1 keluarga miskin dibaiayai 1 sarjana internet laptop gratis 24 jam u siswa kuliah umkm sembako bbm murah pendidikan kesehatan gratis dll mboten korup mboten ngapusi rame nya jutaan hadir mosok survei no 3 survei pesanan tuh,Demografi,0,0,12,6,0,1,29,5,3
jk pembelian alutsista bekas era prabowo pesawat usia 25 harga rp1 triliun nggak,Pertahanan dan Keamanan,39,1,0,5,0,39,8,1,2
semangat ganjarmahfud menyerap aspirasi masyarakat contoh konkret penerapan demokrasi responsif inklusif,Politik,34,1,8,5,1,5,34,2,0
ganjarmahfud menggambarkan lapisan masyarakat merasakan dampak positif pengelolaan sumb3r daya alam bijaksana ganjar pranowo terbukti mensejahterakan,Sumber Daya Alam,9,1,12,2,1,5,24,2,9
acara seni budaya jawa barat dihadiri anies antusiasme dukungan masyarakat,Sosial Budaya,33,4,0,0,0,1,18,33,0
anies ganjar kalah putaran dikriminalisasi serem banget gak nyangka fahri hamzah bilang 2024,Politik,48,2,0,1,1,1,48,3,0
,Politik,14,0,0,21,0,0,14,21,0
calon presiden capres nomor urut 1 anies baswedan kemampuannya menghadapi debat ketiga debat ketiga tema pertahanan keamanan hubungan internasional geopolitik download app store play store,Pertahanan dan Keamanan,42,0,0,0,2,42,10,0,2
perbaiki katakatanya menhan uang rakyat apbn utk membeli pesawat tempur rafale klaim uang rakyat seakan uang prabowo,Politik,37,1,1,0,2,1,37,9,5
sederhana impactful paslon no 03 capres ganjar pranowo cawapres mahfud md rencana merampingkan regulasi hukum investor indonesia,Ekonomi,11,0,11,0,3,1,41,0,0
tebet eco park hasil anies gak sih main kesana tuh enak bgt adem bgt temen gua gak percaya tuh jaksel,Demografi,1,1,0,3,1,37,9,4,1
dengar cerita mahfud md ganjar kayak indonesia pahlawan perubahan positif,Politik,43,0,12,0,0,0,43,0,1
sekjen pdip hasto kristiyanto mengaku heran pengaduan capres nomor urut 1 terkait pernyataannya debat ketiga pilpres 2024 menyinggung 340 ribu hektare lahan milik capres nomor urut 2,Politik,47,1,1,0,3,0,47,1,3
anies lactose intoleran dialami kebanyakan anak indonesia ditambah lg kalo stunting dibenerin gizinya ya kandungan pas anaknya udah sd,Sosial Budaya,49,5,0,2,0,0,0,49,0
ganjar pranowo menginap rumah warga berkunjung daerah sarana menyerap aspirasi merasakan dialami warganya inspirasi program sesuai rakyat,Politik,37,4,5,0,2,4,37,4,0
pastinya naungan ganjar mahfud petani udah sejahtera sih,Politik,25,0,17,0,5,0,25,9,0
hashtag keren abis temanteman ikutan kasih support ganjar pranowo mahfud md lho,Politik,38,0,15,0,1,0,38,2,0
lihat ganjar nanya anies nilaipas anies bicara etika pas pas ganjar blg gak bs ya jgn debat,Sosial Budaya,1,1,1,1,0,0,52,1,0
ganjar pranowo mahfud md pemimpin mengajarkan politik menyena ngkan ganjar mahfud hebat kitamasbowo dangbran,Politik,42,0,8,2,3,0,42,1,0
pendukung 02 bilang debat capres anies cuman menyerang personal prabowo jelas2 tema debat pertahanan anies anggaran memaksa membuka rahasia negara amp anies mengungkap fakta data buruknya kinerja kemenhan,Politik,39,2,0,1,1,6,39,5,2
anies pemimimpin demokratis garis kerasklo teriak2 mah ga dianggap desak anies aja berbeda pendapat disediakan panggung utk ngomong langsung,Ideologi,0,10,0,2,0,0,29,13,2
kasian bener gaza udah digenosida israel dibilang lemah prabowo,Politik,11,2,1,0,1,4,11,34,3
presiden makan bareng prabowo ganjar bagus dukungan jokowi,Politik,50,0,0,1,4,0,50,1,0
etik etik titik titik,Pertahanan dan Keamanan,3,1,0,10,1,3,27,8,6
kepercayaan turun elektabilitas stagnan malu2 keberpihakan sengaja ajak prabowo makan malam menteng 512024 scr terang2an peduli fairness alhasil memalukan sbg presiden aktif penyelenggaraan pilpres,Politik,40,4,0,3,2,3,40,2,2
jd capres susah biar anies aja dikritik didebat terbuka bantah,Sumber Daya Alam,1,6,0,0,4,0,43,2,1
founder indonesia mengajar keknya anies bener2 concern pendidikan indonesia beliau hormat terharu bgt anakanak muda guru profesi dimiliki orang2 berkomitmen berdedikasi,Sosial Budaya,45,5,0,4,0,0,2,45,0
ikutan ah anies cak imin menang bagikan 100 kaos sgie keren,Politik,32,2,1,7,4,0,32,10,0
mendengar anies perahu anies pemimpin berpengalaman berani menemui menyelesaikan nyata kehidupan bermasyarakat kawan listening to anies here i know i am in the right boat anies is an experienced and courageous leader who has frequently encountered and then resolved real problems in our communities what do you guys think,Sosial Budaya,23,1,2,2,0,4,23,23,1
lu gblok lu liat tuh pulau reklamasi berjalan dipermasalahinanies,Geografi,17,0,0,17,8,0,23,3,5
dukung prabowogibran kelompok nelayan rembang sudaryono maju gubernur jawa,Politik,38,3,4,1,1,1,38,8,0
januari serangan kubu dkk sengit doxxing akun akun sosmed berharap cepu grup login tertutup membagikan informasi counter serangan biarkan 02 berkuasa prabowo,Pertahanan dan Keamanan,54,0,0,2,0,54,0,0,0
mendukung penuh prof dr kh mahfud md calon wakil presiden h ganjar pranowo3 bertekad bulat memenangkan pasangan caprescawapres ganjarmahfud pilpres 2024 ganjar mahfud hebat tandanya,Politik,37,0,11,1,6,0,37,0,1
angkat vidio anies gurbernur bukti nyata anies paparkan ide nyontek beliau berani datangi pendemo anies menyelesaikan pencitraan tindakan miliki calon,Ideologi,4,1,0,0,4,0,40,5,6
prabowo presiden tdk anies baswedan ttg etika emosional stability etika berdebat terbiasa dg event,Politik,43,1,3,5,0,0,43,2,2
keren banget capres cawapres ganjar pranowo mahfud md mahfud md gandeng perguruan bikin program manfaatnya langsung masyarakat,Politik,37,0,16,0,1,0,37,2,0
program pasangan capres cawapres ganjar pranowo mahfud md desa presisi pelopor ekonomi lokal,Ekonomi,42,0,42,0,6,0,8,0,0
coba pikir deh buktiin masyarakat anies reachable diajak diskusi disuruh maaf emg rakyat berani sm ngmg gini engga tandanya demokrasi berjalan dgn aman anies,Politik,34,2,0,6,1,2,34,11,0
ganjar pranowo mendorong penghormatan ham ganjar mahfud hebat,Politik,41,0,8,1,4,0,41,1,1
ganjar pranowo semoga keceriaan beliau menginspirasi menyegarkan dunia politik ganjar mahfud hebat guru ngaji juta,Politik,36,2,11,3,1,3,36,0,0
angka melesat mengungguli paslon prabowo subianto,Politik,38,9,0,0,2,0,38,1,6
dukung ganjar pranowo mahfud md adil makmur jnk jn19v7,Politik,44,0,10,0,1,0,44,1,0
prabowo ngomong gw malu 2018 menyebut yerusalem ibukota israel indonesia 2024 debat capres menyudutkan gaza terkait pasukan militer benar2 layak disematkan capres pro zionis prabowo benar2 gak layak mimpin bangsa,Ideologi,40,4,0,0,40,0,12,0,0
capres cawapres ganjar pranowo mahfud md mengajak bersatu menjaga konstitusi aturan dasar negara,Ideologi,50,0,0,0,50,0,6,0,0
nelayan indonesia melawan kredit macet ganjar pranowo mahfud md mari kekuatan,Politik,30,2,18,0,6,0,30,0,0
pa prabowo when pa mahfud food estate gagal rugi,Politik,31,4,8,0,0,0,31,1,12
anies baswedan soroti diskriminasi keyakinan syarat batas maksimal usia kerja,Politik,35,1,0,6,1,5,35,6,2
pandangan ajengan muda prabowo pemimpin memiliki keberanian melawan penyebaran hoaks ujaran kebencian darijabar untukindonesia,Politik,38,5,1,0,0,4,38,8,0
jogetjoget pemuda butuh program mengatasi permasalahannya efektifseperti program pasangan capres ganjar pranowo mahfud md,Politik,30,0,26,0,0,0,30,0,0
emang bener kalo pemerintah pusat opung luhut menteri urusan kalo pemerintah daerah anies baswedan gubernur jabodetabek eh gubernur indonesia kalo banjir banjirnya jakarta disalahin anies,Politik,35,0,0,2,0,0,35,17,2
gagal diwujudkan sby jokowi anies komitmen wujudkan lumbung ikan nasional maluku,Politik,33,1,0,1,0,2,33,15,4
suka setuju gaya anies menyerang gini lupa jokowi dipilih tenang ga berantem pas debat debat malam ganjar bintangnya,Politik,50,2,0,0,0,1,50,3,0
keberanian prabowogibran menghadapi tantangan permasalahan kompleks dukungantulus untuk02,Ideologi,2,1,1,5,2,5,37,5,0
kalo tunjukan keberhasilan foodestate gunungmas tanam singkong sebutkan gibran debat kasih hadiah umroh gratis faktanya program canangkan jokowi ditugaskan prabowo kemenhan gagal tanah 600hektar mangkrak ambil kementan ditanam jagung polibak plastik mulsa kalo petani desa tertawa terbahakbahak langkah kementan tanam jagung plastik mulsa kalo paham pertanian komentar blunder kayak gibran tanah tanam tanah ditanam 5x,Politik,27,0,6,5,1,6,27,6,5
abah anies janji revisi uu kpk kembalikan kepercayaan publik calon presiden capres nomor urut 1 anies baswedan berjanji pembenahan komisi pemberantasan korupsi kpk memenangi pemilihan presiden pilpres 2024 langkah anies membenahi lembaga antirasuah merevisi undangundang uu nomor 19 2019 perubahan uu nomor 30 2002 komisi pemberantasan tindak pidana korupsi anies langkah merevisi uu bertujuan mengembalikan kepercayaan publik mengembalikan kpk lembaga memiliki kemampuan memberantas korupsi mengembalikan kpk berwibawa legal merevisi undangundang kpk revisi mengembalikan kpk posisi kuat anies pemaparannya acara paku integritas calon presiden calon wakil presiden gedung kpk jakarta rabu 1712024 malam memperbaiki uu anies berkomitmen menciptakan standar etika tubuh kpk anies unsur kpk pegawainya makan mengikuti kegiatan didanai kpk standar dikembalikan kpk undangundangnya kekuatan kemandirian dalamnya pimpinan staf kode etik anies anies memperbaiki rekrutmen tingkat pimpinan tingkat pegawai diusulkan presiden tingkat pimpinan rekrutmen staf mencari pekerjaan memberantas korupsi imbuh sumber,Pertahanan dan Keamanan,36,2,0,2,1,36,12,0,3
anies hapus praktik middleman sektor pertahanan,Pertahanan dan Keamanan,40,2,0,1,1,40,5,4,3
gokil anies baswedan berjanji membangun perpustakaan bertaraf internasional ambon,Sosial Budaya,38,1,0,4,1,1,11,38,0
belasan relawan presidium prabowo gibran subang nyatakan deklarasi dukungan prabowo gibran putaran bewara,Politik,43,1,0,0,1,0,43,6,5
horasss lautan manusia hadiri kampanye prabowo gibran medan eh maap ralat lautan manusia membludak hadiri kampanye akbar hajatan rakyat ganjarmahfud istana maimun medan sumatera utara minggu 280124 kampanye beneran lautan manusia bkn makhluk astral silap mata awak,Politik,38,0,0,4,2,8,38,4,0
prabowo jabar semangat kemajuan bangsa berbuatbaik untukmasyarakat,Politik,42,1,3,0,2,2,42,5,1
anies baswedan republik didirikan minoritas didirikan mayoritas republik didirikan anak bangsa indonesia,Sosial Budaya,53,3,0,0,0,0,0,53,0
pasangan capres cawapres ganjar pranowo mahfud md perjuangkan pertumbuhan koprasi umkm kredit 35 mari bangun ekonomi kuat,Ekonomi,31,0,31,0,4,1,20,0,0
minoritas mengakui gedeg dgn 2017 lalutapi menyadari menganalisis dki dibawa kepimpinan anies melibatkan kelompok islam alat kampanye anies terbuka ekstrem cont,Sosial Budaya,50,1,0,4,0,1,0,50,0
sang tokoh perubahan h anies rasyid baswedan phd sosok merangkul golongan memandang anak bangsa keadilan kemakmuran rakyat indonesia,Politik,26,1,0,0,2,4,26,23,0
dukungan masyarakat cilincing menunjukan dipercaya calon pemimpin prabowo subianto,Ideologi,2,8,1,0,2,0,43,1,1
ganjarmahfud rencana konkret meningkatkan kualitas persenjataan tanah air,Pertahanan dan Keamanan,12,2,4,0,4,12,24,3,7
kjp kjmu taman dllnya udah disebutin yaa gua kasih tau salah 1 program anies berguna bgt warga sumur resapan area rumah gua udah 6 sumur resapan alhamdulillah ujan udah gak banjir,Sosial Budaya,41,0,0,6,1,1,4,41,3
paslon 02 prabowo gibran dukungan solid komunitas relawan pendukung 08 mantap dekade08,Politik,43,2,0,4,2,0,43,5,0
poin curhat gw gw seneng gw melepaskan membuang kebencian menguasai gw pilkada seandainya besok anies presiden gw udah mendukungnya hati tulus,Politik,33,2,0,6,2,3,33,8,2
kalo anies presiden partai ga dukung anies oposisi pks ga ya coz konsisten pks beroposisi oposisi diluar pemerintah didalam pemerintahan samasama terhormat lho,Politik,43,5,0,0,0,1,43,3,4
warga purwokerto ber desakan mendesak anies anies pilih no 1 berkalikali memilih rasional jepang ridho paspampres presiden grace,Politik,42,3,0,1,2,1,42,3,4
31 kjp plus program kjp diluncurkan kali 2013 gubernur dki jakarta joko widodo program dilanjutkan gubernur basuki tjahaja purnama gubernur anies baswedan melanjutkan bagus pemimpin gengsian,Politik,33,8,3,5,0,0,33,7,0
kapitalisme neoliberal cocok indonesia prabowo kalimantan,Ideologi,43,0,0,3,43,1,7,2,0
paslon ditunggu bagi2 sembako bagi2 amplop pendukung anies berbagi ribuan bernazar pengemudi ojekpun bernazar menggratiskan antarannya anies menang ketulusan menular,Politik,34,4,0,9,0,1,34,8,0
anies gedung islamic centre ciamis jawa barat kamis 4 januari 2024,Sosial Budaya,10,7,0,8,0,1,30,10,0
kagum masbowogbran palingtepat mengajak semangat muda menciptakan peningkatan positif kemajuan nkri kitamuda pastikanmenang,Politik,34,0,4,4,7,4,34,2,1
prabowo gibran nuansa politik cgi elemen kreatif,Politik,45,1,0,4,0,1,45,4,1
prabowo memenangkan hati rakyat tetapsabar ketikadiserang,Politik,50,1,0,0,2,0,50,3,0
deklarasi cinta tanah air artifisial permukaan cinta sejati terbukti dlm rekam jejak sejarah hidupnya anies presiden ri 2024,Sosial Budaya,3,2,1,2,0,1,42,3,5
kampanye riau anies baswedan gelombang perubahan,Politik,45,1,0,1,0,0,45,9,0
korbannya dirawat rs boyolali mari edukasi masyarakat dg data fakta main hakim republika indonesia negara tangan besi takutkan,Ideologi,10,4,0,0,10,7,31,4,0
pasangan capres cawapres ri no 03 ganjar pranowo mahfud md ekonomi tumbuh mencapai pesat 7 jnk18d2,Ekonomi,41,0,41,2,1,0,11,0,1
gagasan anies baswedan perfilman indonesia lokomotif kemajuan industri kreatif indonesia keknya beliau programnya sedetail perfilman,Sosial Budaya,5,3,30,4,0,1,13,5,0
mas dhani aja mengakui prabowo ditinggalkan umat islam,Politik,36,2,0,3,5,1,36,8,1
negara tokoh bangsa mempertahankan konstitusi sesuai amanat citacita reformasi pembatasan jabatan presiden keniscayaan ganjar mahfud,Politik,25,0,2,1,16,11,25,1,0
skor jelek aniesganjar dukungan prabowo mengalir,Politik,42,2,1,1,2,3,42,2,3
pupuk melimpah hasil pertanian pasangan capres cawapres ganjar pranowo mahfud md meningkatkan kuota pupuk petani,Ekonomi,55,0,55,0,0,0,1,0,0
wowo bebas rakyat geram bukti kekejaman wowo kemanusiaan terungkap masbowogbran pilihankita prabowo,Politik,36,0,2,10,2,5,36,1,0
ganjar kayu ratusan ribu hektare food estate janganjangan dijual pabrik kertas silahkan mas,Politik,26,1,8,5,0,7,26,2,7
ganjar mahfud hebat 14febketps yespakbowo kebersamaan keluarga mahfud md ce rminan kepemimpinan transparan terbukaa0 andrejanuar15 gp 4presiden 1s0pt8bnwo bersih kuatkankpk mahfud md,Politik,39,0,15,1,0,0,39,1,0
ganjar pranowo capres tulus petani tembakaudukungan kunci keberhasilan produksi tembakau,Politik,21,0,34,0,1,0,21,0,0
prabowogibran hapus subsidi bbm lpg gmni bangkrutkan umkm menyengsarakan rakyat,Politik,35,1,5,7,1,4,35,3,0
negara bnyk anak miskin bsa sekolah bsa makan jd membantu rohinya tuan rumah bantu sebisa melebihi kapasita,Sosial Budaya,11,1,2,4,10,8,20,11,0
momen capresku jenguk relawan ganjarmahfud korban penganiayaan oknum tni korban slamet andono bercerita diseret jalan raya dibawa masuk markas batalyon 408 situ dipukuli 5 oknum tni miris,Pertahanan dan Keamanan,50,0,0,6,0,50,0,0,0
ganjar m3nangkan debat elegan debat semalam ganjar lawan bekutik istilahistilah rumit singkatan aneh fakta menandakan ganjar betulbetul memahami bangsa memperbaikinya tengok medsos publik figur aktivis komedian applause sosok rambut putih penampilan ganjar memikat tenang dipaparkan gagasan inovasi berbeda kandidat sibuk pribadi salah gagasan ganjar merebut perhatian pengamanan siber mencegah kejahatan siber relevan hidup dunia internet kejahatan siber angkanya kejahatan siber pencurian data mengkawatirkan doxing mempermalukan korban menipu memeras pengamanan intansi lembaga negara kerap kebobolan gagasan ganjar menguatkan badan siber sandi negara bssn ganjar menawarkan duta siber permasalahanpermasalahan diminimlisir debat semalam kematangan ganjar gambaran pemimpin ideal pemimpin menyelami hiruk pikuk kondisi amati ketiga kandidat programprogram ganjar terbukti kebutuhan pengembangan digital internet gratis sekedar informasi pertumbuhan umkm go digital menembus 218 juta 2023 ekonomi digital keniscayaan dibayangkan akses internet pondasi utama platform digital merata wilayahwilayah terluar peluang ekonomi digital terbuka lebar komitmen pasangan ganjarmahfud unggul debat memenangkan hati rakyat masyarakat butuh kepastian butuh pemimpin cepat memperbaiki tatanan aman nyaman publik,Ideologi,3,8,5,6,3,9,20,5,0
pergeseran suara pendukung jokowi prabowo prabowo subianto,Politik,45,1,0,0,0,1,45,4,5
anies lactose intoleran dialami kebanyakan anak indonesia ditambah lg kalo stunting dibenerin gizinya ya kandungan pas anaknya udah sd,Sosial Budaya,46,2,1,2,0,1,3,46,1
founder indonesia mengajar keknya anies bener2 concern pendidikan indonesia beliau hormat terharu bgt anakanak muda guru profesi dimiliki orang2 berkomitmen berdedikasi,Sosial Budaya,45,5,0,4,0,0,2,45,0
dwi tunggal sukarnohatta hadir mahfud md ganjar bentuk,Politik,40,0,12,1,3,0,40,0,0
tren 3 pasangan basis usiagenerasi prabowo gibran menguat gen z anies muhaimin menguat millenials ganjar mahfud melemah,Demografi,1,1,4,0,0,0,49,2,0
kesempatan berdua hidangan ayam teriyaki wajan prabowo subianto,Politik,42,0,1,0,3,1,42,6,3
banget mengangkat menampilkan budaya indonesia bikin bangga banget lho all prabowo gibran,Sosial Budaya,8,3,7,0,4,0,33,8,1
kebebasan berpendapat hak kekayaan intelektual komitmen seni budaya belajar bermain teater,Sosial Budaya,11,1,1,8,8,2,20,11,5
bismillah tanggapan anies baswedan terkait isu koalisi anies ganjar focus 14 pebruari 2024 kemenangan am1n anies amp muhaimin abaikan,Politik,49,1,0,2,0,1,49,2,1
detikdetik pendukung wowo ngatain anies bangsat capresnya kasar gemoysian pendukungnya kasar,Politik,29,7,1,5,2,10,29,2,0
mengejutkan pekerja pabrik rokok kudus jawa ramairamai mendukung aniesmuhaimin,Politik,31,1,7,8,1,2,31,4,2
minoritas mengakui gedeg dgn 2017 lalutapi menyadari menganalisis dki dibawa kepimpinan anies melibatkan kelompok islam alat kampanye anies terbuka ekstrem cont,Sosial Budaya,45,1,0,6,0,0,4,45,0
ganjar presiden ganjar hapuskan hutang nelayan petani prabowo menang hutang negara pilih sappo,Politik,45,0,7,0,4,0,45,0,0
kapitalisme neoliberal cocok indonesia prabowo kalimantan,Ideologi,45,2,0,4,45,2,1,1,1
pasangan capres cawapres ganjar pranowo prof mahfud md md tuntasin regulasi hukum hambatan investor masuk tanah air,Politik,21,0,27,0,3,2,21,1,2
ehh ikan buntal keluarga tni anak buahnya prabowo anggota sgi dili prabowo tau sgi ponakan aktif tugas yonif rk 744 atambua satunya kompi c 743 ende keluarga pilih prabowo,Pertahanan dan Keamanan,7,2,0,4,1,7,38,4,0
panen quote liat videonya anies,Ekonomi,2,1,2,6,0,0,40,6,1
hasil survei ipo selisih prabowogibran amin 79 dibalikkan putaran,Politik,41,5,0,3,1,1,41,4,1
gokil anies baswedan berjanji membangun perpustakaan bertaraf internasional ambon,Sosial Budaya,38,0,0,7,1,0,10,38,0
bangga ganjar satunya peduli guru ngaji,Politik,33,1,12,0,3,5,33,1,1
relawan ganjar dicekoki miras dikasih amplop bentrok belasan tni boyolali buktibuktinya,Pertahanan dan Keamanan,49,0,1,6,0,49,0,0,0
ganjar mahfud serius mendukung perempuan melibatkan nyata program kartini maju,Politik,34,0,19,0,2,0,34,1,0
anies baswedan ancaman demokrasi membesar omonomon beretorika,Politik,39,1,0,1,1,1,39,12,1
redefine common sense prabowo gibran pendukungnya berhasil mendefinisikan common sense versi aneh berhasil wajarnya gitu parah aneh kalo tim pas sadar kalo lahir buruk plg efektif oke definisikan ulang pas recreate buruk trik tempelkan pas buruk lawan trik pamungkas tergambar kutipan berasal josep goebbels menteri propaganda nazi it would not be impossible to prove with sufficient repetition and a psychological understanding of the people concerned that a square is in fact a circle they are mere words and words can be molded until they clothe ideas and disguise bahasa sederhana kelabuisebarkanrepeat gak percaya contohnya 1 mengkritik putusan mk 902023 anti generasi muda gak move on 2 isu penculikan pelanggaran ham dibilang gorengan 5 tahunan 3 gesture provokatif gibran debat pilpres i ungkapan semangat 4 menilai kinerja menhan 11100 penghinaan berhak menilai kinerja menhan orang kompeten 5 aset tanah prabowo debat serangan pribadi 6 realisasi anggaran belanja kemhan rahasia negara 7 investor ikn rahasia negara 8 gibran cawapres beretika sungkem selepas debat 9 menolak ikn javasentris menolak pemerataan pembangunan 10 food estate gunung mas proyek gagal gagal tanggung kementerian pertanian 11 menolak hilirisasi nikel nasionalis 12 mengkritik glorifikasi prabowo melepas kapal bantuan kemanusiaan palestina kemhan anti kemanusiaan 13 ndasmu bahasa kalo cermati poin 1 sd 13 formula dikotomi hitam putih opsi kritik opsi beda pendapat setuju langsung label anti berkelanjutan anti pembangunan dst tementemen lahir 1990 formula soeharto merepresi lawan politik masyarakat jasa departemen penerangan tugasnya kementerian propaganda nazi formula digaungkan berulang kali public figure masif sosial media portal berita media massa tambahkan bumbu pernyataan menteri anggota partai kabinet indonesia plus klarifikasi presiden simsalabim aneh wajar aneh kotak lingkaran sesuai dgn kutipan goebbels lakukan try this methods a diskusi argumen ngawur kebanyakan pemahaman legal formal konsisten b kebebasan berpendapat mutlak preseden keputusan haris fatia dihukum pemikiran c buruk dihentikan dipaksa berlanjut d jiwa nasionalis dinilai mendukungtidak mendukung program kerja paslon e informasi publik hak warga negara f ngrasa capek meluruskan pola pikir bengkok g last but not least trust ur arguments pendukung 02 aslinya gak percaya argumen tau aslinya argumen bengkok mari bantu orangorang berdiri berhadapan langsung prabowo gibran dukung not in particular order menghentikan rezim busuk kalo bergerak,Ideologi,12,3,0,11,12,4,22,3,1
optimisme pasangan capres cawapres ganjar pranowo mahfud md ajak koprasi umkm sukses kredit 35 ayo,Politik,26,0,29,0,0,0,26,1,0
debat capres drone emprit anies sentimen positif tertinggi prabowo sentimen negatif tertinggi,Politik,41,5,0,4,4,1,41,1,0
sok hukum jubir prabowo dihajar pakar hukum kdg sok dr pajak hukum org ahli sih,Politik,29,1,8,5,2,8,29,2,1
gw gak habis pikir liat orang pilih anies liat ngemeng2 doang desak anies or live tiktok gak liat cara2 utk gubernur dki sblmnya seprti gak liat hasilnya berbanding janjinya utk jakarta pemimpin walk the talk,Ekonomi,0,3,0,1,1,1,31,18,1
ganjarmahfud makmurkan petani,Ekonomi,22,0,22,0,3,0,28,2,1
ragu bimbang pilihlah capres ganjar pranowo pemimpin pemilu 2024 mahfud membawa kekuatan keberanian,Politik,39,0,10,1,5,0,39,1,0
osco nilai penjelasan prabowo alutsista anies gagal paham,Politik,37,5,0,5,0,4,37,1,4
sekda periksa kpk terkait korupsi bansos kpk langsung geledah kantor gubernur jatim khofifah menunggu khofifah langsung mendukung prabowogibran tebak dukungan suka rela,Politik,37,0,0,8,0,1,37,9,1
histeris puluhan ribu masyarakat minangkabau menghadiri kampanye akbar anies halaman gor h agus salim padang sumatera barat,Politik,22,2,0,12,0,1,22,18,1
salahsatu alasan prabowo keliatan kosong ngang ngong bgt debat taun krn 2019 yha jokowi aja public speaking nya belepotan meanwhile taun anies terstruktur bgt ganjar lugas luwes wowo kebanting,Politik,40,4,0,8,1,1,40,2,0
total anggarannya 700 t maksud prabowo anggaran dki 80t utk atasi polusi pastinya gak utk oneng,Politik,25,5,1,4,0,7,25,7,7
