text_cleaned,label,correct,Demografi,Ekonomi,Geografi,Ideologi,Pertahanan dan Keamanan,Politik,Sosial Budaya,Sumber Daya Alam,text
ganjar ngejaga petani sarana produksi nyaman tangan,Politik,26,0,23,0,1,0,26,3,3,"Ganjar selalu ngejaga petani kita, sarana produksi nyaman di tangan mereka.#JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat https://t.co/ZmZrbVbZUA"
tiada patut ucapkan kecuali syukur alhamdulillah habib ulama dukung pasangan amin anies baswedan muhaimin iskandar pasangan no 1 menang indonesia adil makmur terwujud,Politik,39,10,0,0,0,1,39,2,4,RT Tiada kata yang patut kita ucapkan kecuali rasa syukur Alhamdulillah Ã°ÂŸÂ™Â Habib dan Ulama Dukung pasangan AMIN Anies Baswedan - Muhaimin Iskandar Pasangan No 1 menang Indonesia Adil dan Makmur untuk Semua Terwujud #AMINAjaDulu https://t.co/UqZAww4ngq [RE Mdy_Asmara1701]
adi menginformasikan isu utama kampung sulitnya air bersih naiknya air laut prabowo subianto,Sumber Daya Alam,50,1,0,4,0,0,0,1,50,Adi menginformasikan bahwa isu utama di kampung mereka adalah sulitnya mendapatkan air bersih dan masalah naiknya air laut. #IndonesiaSentris #IndonesiaHijau #02Melanjutkan #AnakMudaIndonesiaEmas Prabowo Subianto
calon presiden ri ganjar pranowo pemimpin memahami korupsi musuh dihadapi,Ideologi,11,0,5,1,11,0,38,0,1,Calon Presiden RI Ganjar Pranowo Pemimpin yang memahami bahwa korupsi adalah musuh bersama yang harus dihadapi bersama.#GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK https://t.co/if5TMMVFfu
daebak cilacap momen anies baswedan kampanye akbar 24 januari 2024 indonesia people deserve better,Politik,40,4,0,3,0,2,40,7,0,RT Daebak Cilacap Ã°ÂŸÂ‘Â Momen Pak Anies Baswedan kampanye Akbar 24 Januari 2024 Indonesia People Deserve Better https://t.co/W8O8vybFie [RE Mdy_Asmara1701]
timnas amin polisi usut pengancam bunuh anies baswedan,Pertahanan dan Keamanan,33,1,0,1,0,33,13,5,3,RT Timnas AMIN Minta Polisi Usut Pengancam Bunuh Anies Baswedan https://t.co/WN4aPLCrwL [RE kba_news]
kunjungannya air bersih kenaikan air laut sembilan kelurahan jakarta utara perhatian serius prabowo subianto calon presiden nomor urut,Sumber Daya Alam,50,2,0,0,2,0,2,0,50,"Selain itu dalam kunjungannya, masalah air bersih dan kenaikan air laut di sembilan kelurahan #IndonesiaSentris Jakarta Utara juga menjadi perhatian serius Prabowo Subianto, calon presiden nomor urut dua. #IndonesiaSentris #IndonesiaHijau #02Melanjutkan #AnakMudaIndonesiaEmas"
zulhas pengorbanan indonesia prabowo militer prabowogibran,Politik,45,5,1,0,0,0,45,3,2,Zulhas mengatakan pengorbanan untuk Indonesia sudah dilakukan sejak Prabowo masih di militer. #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo-Gibran
1 nayain anies anggaran dana 80t udah dijelaain detail ilmiah dibilang susah nyalahin angin tdk ktp 2 debat muncul istilah sgie jujur ga dibilang sekelas cawapres masak ga ngerti 3 debat ketiga anggaran 700t srh ngejelasin tp nyerang personal rahasia negara pendukungnya seh diserang trs sabar ya tetep semangat ya gak tega banget ngelihatnya bikin sakit hati banget nangis bombay otak udah sengklek sononya,Politik,37,3,0,3,2,6,37,2,3,"RT 1. Dalam #DebatCapres pertama nayain pak Anies Anggaran dana 80T udah dijelaain detail dan ilmiah dibilang ""Susah kalau nyalahin angin tdk ada KTP"" 2. Debat kedua muncul Istilah SGIE, dijawab jujur ga tahu dibilang Sekelas Cawapres masak ga ngerti. 3. Debat ketiga, ditanya Anggaran 700T buat apa saja srh ngejelasin tp dijawab nyerang Personal, Itu rahasia negara. Para pendukungnya : Apaan seh diserang trs, sabar ya pak, tetep semangat ya pak, gak tega banget ngelihatnya, bikin sakit hati banget sambil nangis bombay Ã°ÂŸÂ˜Â‚ Ketika otak udah sengklek dari sononya... Ã°ÂŸÂ¤Â£Ã°ÂŸÂ¤Â£Ã°ÂŸÂ¤Â£ [RE BangPino__]"
jenderal tni penculik mengaku menculik dipecat hukum negara seret prabowo adili pengadilan ham jenderal2 tua pecat prabowopun dukung sbg capres jenderal penghianat negara maling negara,Politik,32,6,0,0,10,5,32,2,1,"RT @okPhrEI6e1axJJftLlmUtvp+SnHZ3Yf8JDZOMuZY/eY= Jenderal TNI penculik, MENGAKU menculik, hanya dipecat! Hukum Negara apa ini??? Seret PRABOWO Adili, di Pengadilan HAM! Itu Jenderal2 tua yg pecat Prabowopun dukung dia sbg Capres. Jenderal Penghianat Negara! Mungkin termasuk Maling Negara! https://t.co/7N6BXXXriE [RE FiNfie777]"
program anies otonomi daerah desa diharapkan memajukan jawa barat akar rumput,Sosial Budaya,21,1,13,0,2,0,18,21,1,@Vl1wBJIovTuhufJSSaclqT33cN2h/zntcbKg+vMOvB0= Program Anies untuk otonomi daerah dan desa diharapkan dapat memajukan Jawa Barat dari akar rumput.
pengembangan umkm koperasi fokus utama pasangan ganjarmahfud pilpres 2024 inovasi membantu kemudahan umkm diberbagai sektor,Politik,37,1,9,4,1,2,37,0,2,"RT Pengembangan UMKM sampai Koperasi menjadi Fokus utama pasangan Ganjar-Mahfud menuju Pilpres 2024. Berbagai inovasi baru, siap membantu kemudahan UMKM diberbagai sektor. #SahabatGanjar #SatSetLebihBaik https://t.co/fE2Wz7AUwx [RE KING_RADJA_Id]"
pj gub jkt heru budi curhat klo anggaran 813 t tdk utk mengurus dki jkt alhamdulillah faham bgtu bagusnya managemen amp tata kelola anies jd gub dki jakarta insya allah indonesia maju ditangan pemimpin spt anies,Politik,20,2,1,6,2,2,20,23,0,"RT PJ Gub Jkt Heru Budi, Curhat klo Anggaran 81.3 T tdk cukup utk mengurus DKI Jkt. Alhamdulillah dari sini kita faham bgtu bagusnya Managemen &amp; tata kelola Pak Anies saat jd Gub DKI Jakarta. Insya Allah, Indonesia akan maju ditangan Pemimpin yg Tepat spt Pak Anies. #AMINAjaDulu https://t.co/tMzlwiz7LC [RE BangPino__]"
hasil ngobrol bar3ng ganjar tuh bermanfaat bgt beliau mendorong bm bgt ekonomi kreatif,Ekonomi,19,1,19,8,0,2,17,9,0,hasil Ngobrol Bar3ng Ganjar tuh bermanfaat bgt. beliau mendorong bm bgt ekonomi kreatif. #DeepTalkGanjar https://t.co/rYfXIJ9aSi
ganjar pranowo prof mahfud ganjar rakyat memimpin hati kepedulian empati penderitaan rakyatnya dasar kebijakannyaqq23bxa,Politik,33,0,8,0,5,9,33,1,0,"Ganjar Pranowo Prof Mahfud, Ganjar Bersama Rakyat, memimpin dengan hati. Kepedulian dan empati terhadap penderitaan rakyatnya menjadi dasar dari setiap kebijakannya.QQ23""BXa #JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat #TabrakProf https://t.co/t8GbcjnwSf"
mantan panglima tni kepala staf angkatan darat panglima tni mengawal proses hukum oknumoknum tni relawan ganjar mahfud warga melenceng,Pertahanan dan Keamanan,48,3,3,0,0,48,2,0,0,RT Mantan Panglima TNI mengingatkan Kepala Staf Angkatan Darat dan Panglima TNI untuk mengawal proses hukum oknum-oknum TNI terhadap relawan Ganjar Mahfud dan warga sekitar.. Jangan melenceng!! https://t.co/j5duokFbef [RE Paltiwest]
rebut suara rakyat anies utamakan dialog,Politik,35,4,0,0,0,0,35,15,2,"https://t.co/ZMx5ShLleB Guna rebut suara rakyat, Anies utamakan dialog"
sby ajak kader menangkan prabowo demokrat masuk pemerintahan,Politik,40,2,0,2,1,3,40,5,3,RT SBY Ajak Kader Menangkan Prabowo agar Demokrat Masuk Pemerintahan https://t.co/cz73arHFBq [RE CNNIndonesia]
pesan putra papua anies baswedan titipkan papua,Sosial Budaya,53,0,0,1,0,0,1,53,1,RT Pesan Dari Putra Papua Kepada Anies BASWEDAN. PAK AKU TITIPKAN MASA DEPAN PAPUA KEPADA BAPAK Ã°ÂŸÂ™Â https://t.co/mFXsUtb4i3 [RE PutraErlangga95]
hutan jati cilacap hutan mangrove banyuwangi petani percaya anies menjaga kelestarian alam,Sumber Daya Alam,11,1,0,0,11,5,18,10,11,"@YmlZ1SD1diJXG9SJdcUGjTgGUTeLojTQE3f0bnQfVYs= Di tengah hutan jati Cilacap sampai hutan mangrove Banyuwangi, petani percaya Pak Anies dapat menjaga kelestarian alam."
terduga oknum ngomong bngst pa anies 01 pilihan indonesia,Politik,32,2,1,5,5,4,32,7,0,"RT Terduga oknum yg ngomong b*ngs*t ke pa anies, 01 pilihan yang tepat untuk masa depan indonesia https://t.co/9odm2i3rj3 [RE nialubis_]"
masyarakat leluasa keluhan ganjar m3mberi solusi,Politik,33,3,12,0,2,6,33,0,0,@D5zoZE4hntr+8J+gqy92ybJcVgqf5Jjm+SOkSOnKkpk= Masyarakat jadi lebih leluasa menyampaikan keluhan. Ganjar M3mberi Solusi #DialogGanjar
capres cawapres ganjar pranowo mahfud md mahfud md benerbener perhatian pendidikan ajak perguruan program edukatif keren,Politik,36,0,15,1,2,0,36,1,1,Capres Cawapres Ganjar Pranowo - Mahfud MD - Mahfud MD bener-bener perhatian sama pendidikan! Dia bakal ajak perguruan tinggi buat program edukatif yang keren. #GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK
lahan 340 ribu hektare prabowo jk anies diperiksa bawaslu kesaksian jokowi,Politik,38,2,0,6,0,2,38,4,4,"RT Soal Lahan 340 Ribu Hektare Prabowo, JK: Kalau Anies Diperiksa Bawaslu, Minta Kesaksian Jokowi Saja https://t.co/XixR3wjOGJ [RE democrazymedia]"
minusnya prabowo 1 terduga pelanggar ham berat 2 proyek food estate gagal 3 emotional management gak bagus 4 skill problem solving kalah anies ganjar 5 gak pendengar 6 diktator 7 cawapresnya hasil praktik nepotisme tambahin aja dah,Politik,30,2,2,5,7,5,30,1,4,RT @RCiGlPcG8H5jmoctxheFSpllYXC4WIiVdgvzkGqllCI= Minusnya Prabowo: 1. Terduga pelanggar HAM berat 2. Proyek food estate gagal 3. Emotional management gak bagus 4. Skill problem solving kalah dari Anies dan Ganjar 5. Gak bisa jadi pendengar yg baik 6. Diktator 7. Cawapresnya hasil praktik nepotisme Tambahin aja dah [RE asa_mrsy]
netizen geger haikal hassan politik identitas menjatuhkan pendukung anies mengaku ditolak dilarang masuk masjid warganet sebutkan masjidnya masjid melarang fitnah laknat terkutuk,Politik,38,2,0,10,0,0,38,6,0,"RT Netizen Geger: Haikal Hassan Gunakan Politik Identitas Untuk Menjatuhkan Pendukung Anies, Dengan Mengaku Ditolak Dilarang Masuk Masjid, Warganet : Sebutkan Masjidnya, Masjid Mana Yang Melarang? Jangan membuat Fitnah Yang Laknat dan terkutuk! @XYVhIQsq5fq9854dJllEolkpxjReVI6BAFN/1uxUyyg= https://t.co/lDwMHh17pA [RE abu_waras]"
dedikasi prabowo kemajuan indonesia bukti nyata keberpihakannya rakyat buktinyata tiadahenti,Politik,45,4,0,3,2,0,45,2,0,Dedikasi Prabowo untuk kemajuan Indonesia adalah bukti nyata dari keberpihakannya pada rakyat. #02UntukMelanjutkan BuktiNyata TiadaHenti https://t.co/RL6Z7pg1RV
gerak jalan sabtu biru ceria dukungan warga kabupaten malang menangkan prabowogibran,Politik,40,2,2,0,0,0,40,9,3,RT Gerak Jalan Sabtu Biru Ceria Jadi Dukungan Warga Kabupaten Malang Menangkan Prabowo-Gibran - https://t.co/LVjsTJjbQo https://t.co/jgZ6BR0Bv0 #IndonesiaKuatIndonesiaMaju #DiplomasiProgresif02 #02Melanjutkan [RE doddy_h4312]
calon presiden ri no urut 3 ganjar pranowo konstitusi aturan dasar negara dihormati ditegakkan,Ideologi,56,0,0,0,56,0,0,0,0,Calon Presiden RI No Urut 3 Ganjar Pranowo memastikan bahwa Konstitusi atau aturan dasar negara kita dihormati dan ditegakkan.#JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat https://t.co/GotYTlwAZP
abah anies mengangkat martabat petani menerus menerima bansos penghasilannya,Sosial Budaya,56,0,0,0,0,0,0,56,0,RT Abah Anies ingin mengangkat martabat petani agar tidak terus menerus menerima bansos karena penghasilannya cukup.. #AMINAjaDulu https://t.co/txIvBhLvn2 [RE ekowboy2]
calon presiden ri ganjar pranowo percaya mahfud md regulasi hukum investor bersahabat nggak rumit,Politik,43,0,6,0,6,0,43,0,1,"Calon Presiden RI Ganjar Pranowo percaya, bersama Mahfud MD, regulasi hukum investor akan semakin bersahabat dan nggak rumit. #GanjarPranowoPilihanUmat #GanjarMahfudRebound #JNK https://t.co/FBjtUfIW0L"
video berulang kali menonton video emosi ttp kedengkian jokowi anies publik,Politik,42,4,1,1,0,1,42,5,2,"RT Masih ingat video ini enggak? Entah kenapa meskipun berulang kali menonton video ini, emosi saya ttp saja naik. Dan dari sinilah kedengkian jokowi Kepada Pak Anies terlihat oleh publik. #KebenaranPastiMenang https://t.co/QYoTcTC3kp [RE mapedos01]"
brodi baliho spanduk caleg psi jarang mencantumkan photo prabowo,Politik,35,2,2,5,1,9,35,1,1,@Na9a+G0q/nntznmCrxyVgmbI+RxuYzVVC/jBF+HLoLY= Bro..di setiap Baliho atau spanduk Caleg PSI kenapa jarang ada yang mencantumkan Photo Prabowo?Ã°ÂŸÂ˜Â
ainunnajib tegang kali lg nembak pemerintah jokowi mulu ganjar kg mode cari aman mahfud hebat happy new year,Politik,35,0,14,3,1,1,35,1,1,ainunnajib Lebih tegang kali... lg nembak pemerintah jokowi mulu... Ganjar malah kg mode cari aman Mahfud Hebat #MahfudLebihBaik3 #GanjarMahfud2024 #3MandatGanjarMahfud #L3bihbaik Happy New Year https://t.co/g288YVpnR1
kapitalisme neoliberal cocok indonesia prabowo kalimantan,Ideologi,45,0,0,3,45,2,2,2,2,"RT Kapitalisme neoliberal tak cocok untuk Indonesia, kata Prabowo - ANTARA Kalimantan Tengah https://t.co/JkX9iUSArj #MenangSeputaran [RE ChairudinN6548]"
anies bahas gaza gorontalo beliau gaza lemah pendudukan praktek aparheid penindasan belajar orang2 gaza berjuang berjihad,Politik,28,4,0,5,0,7,28,10,2,"RT Pak Anies bahas Gaza di #DesakAnies Gorontalo, kata beliau Gaza itu tidak lemah, yang terjadi di sana itu pendudukan, praktek aparheid, dan penindasan. Justru kita di sini yang harus belajar dari orang2 di Gaza. Mereka selama ini tetap berjuang dan berjihad. [RE nuggetpedaz]"
keyakinan jabar prabowo pemenang putaran berbuatbaik untukmasyarakat,Ideologi,0,2,0,2,0,2,47,2,1,Keyakinan Jabar: Prabowo adalah pemenang tanpa perlu putaran kedua. #JabarTetapUntuk02 BerbuatBaik UntukMasyarakat https://t.co/ksf894mbEh
pilih udah membuktikan berjanji manis duet calon no 3 ganjar pranowo mahfud md capres rekam jejak positif,Politik,45,0,5,0,4,0,45,2,0,"Pilih yang udah membuktikan, bukan yang cuma berjanji manis. Duet Calon No 3 Ganjar Pranowo - Mahfud MD, capres dengan rekam jejak positif! #GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK https://t.co/f13n33AWyz"
gue suka deh prinsip kejujuran pasangan ganjar pranowo mahfud md pemimpin jujur bro,Ideologi,7,1,12,0,7,0,36,0,0,"Gue suka deh sama prinsip dan kejujuran Pasangan Ganjar Pranowo dan Mahfud MD buat jadi pemimpin yang jujur, bro. #GanjarPranowoPilihanUmat #JNK #GanjarMahfudRebound https://t.co/5aDkf59tQG"
liat track recordnya ganjar pranowo mahfud md udah banget deh pranowo mahfud mdmahfudrebound pranowo mahfud mdpranowopilihanumat,Ideologi,7,0,13,0,7,0,27,0,9,"Cukup liat track record-nya Ganjar Pranowo dan Mahfud MD, udah yakin banget deh. #Ganjar Pranowo dan Mahfud MDMahfudRebound #Ganjar Pranowo dan Mahfud MDPranowoPilihanUmat #JNK https://t.co/MFu96jYDhF"
pura pura dukung anies ngejatuhin anies bener bener halus banget mainnya,Demografi,1,1,2,1,0,1,39,10,2,"RT Pura pura buat dukung anies, padahal buat ngejatuhin anies bener bener halus banget mainnya [RE kifli127]"
minoritas mengakui gedeg dgn 2017 lalutapi menyadari menganalisis dki dibawa kepimpinan anies melibatkan kelompok islam alat kampanye anies terbuka ekstrem cont,Sosial Budaya,45,2,0,4,0,1,4,45,0,"RT aku minoritas dan mengakui sempat gedeg dgn apa yg terjadi 2017 lalu.tapi setelah menyadari dan menganalisis bahwa DKI dibawa kepimpinan pak Anies tidak melibatkan kelompok Islam yg menjadi alat kampanye pak Anies, aku terbuka bahwa sebenarnya tidak se ekstrem itu. (cont..) https://t.co/qljN230zz8 [RE UGM_FESS]"
supremasi sipil tentara barak menolak tentara polisi eks tentara eks polisi menduduki jabatan sipil,Pertahanan dan Keamanan,6,4,0,12,0,6,18,10,6,"@vwAsoVfY3BfF4Vo0dDZccFf2nG0NMFy2/JcCZqWc5SA= @+MzMlruXUZQdr9P8ziWY6Fztw52Tbl3HWls6BjaOTOs= supremasi sipil. tentara balik ke barak. menolak tentara, polisi, eks tentara dan eks polisi menduduki jabatan sipil."
paslon ganjar pranowo mahfud md mendorong legislasi menetapkan penempatan minimal psikolog puskesmas indonesia memperkuat upaya penanganan kesehatan mental,Sosial Budaya,4,3,9,2,0,3,34,4,1,Paslon Ganjar Pranowo - Mahfud MD mendorong legislasi yang menetapkan penempatan minimal satu psikolog di setiap puskesmas seluruh Indonesia untuk memperkuat upaya penanganan kesehatan mental.#GanjarMahfudRebound #JNK
inisiatif kesejahteraan petani ganjarmahfud mengoptimalkan produksi pertanian dukungan petani,Ekonomi,17,3,17,0,0,1,11,17,7,Inisiatif Kesejahteraan Petani Ganjar-Mahfud mengoptimalkan produksi pertanian dan memberikan dukungan kepada para petani. #arsjadrasjid #TPNGanjarMahfud #inklusifkolaboratif https://t.co/CnNafcIaD0
kalimat bijak rival politik biarlah oposisi diajak masuk kekuasaan disandera aneka kepentingan lelah oposisi lemah keseimbangan,Politik,38,2,0,7,2,1,38,6,0,"RT @dbQGm3vDWxwsEH997UL7CXGYG40YlWJw8SCNE/oWHMM= @j4blnMLswhS7fJ8ue5UNOBVfdOcmtDbAa/GPYHSTRHE= @CYMC4RASfnY+ghrWaNT/EAywGnJn68glN32P6sXqAbQ= Kalimat ini seolah bijak, tapi tidak tepat. Rival politik biarlah jadi oposisi, jangan diajak masuk kekuasaan namun kemudian disandera dengan aneka kepentingan. Sudah lelah kita melihat oposisi yang lemah. Keseimbangan itu penting. [RE afifahafra79]"
ganjar dukungan pengusaha tergabung kadin dipercaya memperjuangkan kepastian hukum regulasi perizinan berusaha menaikkan pertumbuhan ekonomi pengusaha indonesia emas rakyat b3rsama ganjar,Ekonomi,34,4,34,2,0,1,14,1,0,Ganjar mendapat dukungan besar dari pengusaha yang tergabung dalam Kadin dipercaya bisa memperjuangkan kepastian hukum dan regulasi perizinan berusaha dan menaikkan pertumbuhan ekonomi bersama para pengusaha demi Indonesia Emas. Rakyat B3rsama Ganjar #GanjarPilihanRakyat https://t.co/0PIqTfmk8d
janji anies masyarakat sumatera barat membangun stadion sepak bola bertarap internasional sumatera barat terpilih presiden rumputnya diganti ya,Sumber Daya Alam,5,4,0,3,0,3,38,3,5,"RT Janji Pak Anies pada Masyarakat Sumatera Barat : Membangun Stadion Sepak Bola bertarap Internasional di Sumatera Barat jika nanti terpilih menjadi Presiden, tapi rumputnya jangan diganti ya Ã°ÂŸÂ™Âˆ https://t.co/ESnQSBDu8m [RE Elz4m_]"
anies menormalisasi hubungan organisasi dibubarkan negara hti amp fpi presiden,Politik,33,4,0,1,14,2,33,1,1,RT Pak Anies menjawab pertanyaan soal menormalisasi hubungan dengan organisasi yang pernah dibubarkan negara seperti HTI &amp; FPI jika jadi presiden.. #AMINAjaDulu https://t.co/bjuapPfjMc [RE Mdy_Asmara1701]
ganjar pranowo tekadnya meningkatkan kesiapan pertahanan indonesia memodernisasi alutsista tni fokus utamanya matra darat laut udara ganjar menyoroti persiapan serius menghadapi tantangan keamanan menggarisbawahi peningkatan segi teknologi kecanggihan alat militer,Pertahanan dan Keamanan,26,3,2,2,3,26,17,3,0,"RT Ganjar Pranowo, menegaskan tekadnya untuk meningkatkan kesiapan pertahanan Indonesia dengan memodernisasi Alutsista TNI. Fokus utamanya adalah pada matra darat, laut, dan udara. Ganjar menyoroti pentingnya persiapan serius dalam menghadapi tantangan keamanan, menggarisbawahi perlunya peningkatan dalam segi teknologi dan kecanggihan alat militer. #PDIPerjuangan #GanjarUntukSemua #GanjarPresiden #MEnangkanGAnjar #Nomor3Pilihanku #GanjarMahfud2024 #GanjarSatSet #MahfudTasTes [RE PDI_Perjuangan]"
barusan ngobrol bareng temen gua pendukungnya 02 bilang anies jelek gubernur ga beneran stop reklamasi pas gua reklamasi jakarta buktinya pik 2 sampe nangis,Politik,27,0,0,4,1,2,27,18,4,"RT Barusan ngobrol bareng sama temen gua yang jadi pendukungnya 02, dia bilang Anies jelek jadi Gubernur karena ga beneran stop reklamasi. Pas gua tanya reklamasi yang mana yg lanjut di Jakarta? Dia jawab ""itu buktinya PIK 2 lanjut terus sampe sekarang"" Mau nangis Ã°ÂŸÂ˜Â‚Ã°ÂŸÂ˜Â‚Ã°ÂŸÂ˜Â‚ [RE Lukman_Mth]"
optimis duo bangsa ganjar pranowo prof mahfud buka pintu sukses kredit 35 koprasi umkm wujudkan impian bisnismuganjarmahfud taat hukum,Politik,17,0,28,0,5,0,17,6,0,Optimis. Duo Bapak Bangsa Ganjar Pranowo Prof Mahfud buka pintu sukses dengan kredit 35% untuk koprasi dan UMKM. Wujudkan impian bisnismu.GanjarMahfud Taat Hukum .#JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat https://t.co/O9HHkyOIOr
ganjar pranowo prof mahfud md ganjar presiden rakyat style visi oke banget ayo dukung jn19fe,Politik,39,0,16,0,1,0,39,0,0,"Ganjar Pranowo Prof Mahfud MD, Ganjar Presiden Rakyat yang punya style dan visi yang oke banget. Ayo, dukung!. JN19Fe #JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat https://t.co/QRUoO23mb4"
orang papua berharap anies presiden,Sosial Budaya,38,0,0,0,1,0,16,38,1,RT Orang Papua berharap pak Anies jadi Presiden https://t.co/fk3tvXShHR [RE Yurissa_Samosir]
minoritas mengakui gedeg dgn 2017 lalutapi menyadari menganalisis dki dibawa kepimpinan anies melibatkan kelompok islam alat kampanye anies terbuka ekstrem cont,Politik,0,0,0,5,0,1,0,50,0,"RT aku minoritas dan mengakui sempat gedeg dgn apa yg terjadi 2017 lalu.tapi setelah menyadari dan menganalisis bahwa DKI dibawa kepimpinan pak Anies tidak melibatkan kelompok Islam yg menjadi alat kampanye pak Anies, aku terbuka bahwa sebenarnya tidak se ekstrem itu. (cont..) https://t.co/qljN230zz8 [RE UGM_FESS]"
ganjar dinilai arsjad sosok pemimpin memiliki ketulusan hati visi mulia tekad kuat mewujudkan indonesia unggul berdaulat,Politik,35,2,6,5,0,3,35,3,2,"Selain itu, Ganjar juga dinilai Arsjad sebagai sosok pemimpin yang memiliki ketulusan hati, visi mulia dan tekad yang kuat untuk mewujudkan Indonesia unggul dan berdaulat. #arsjadrasjid #TPNGanjarMahfud #inklusifkolaboratif"
point 1 sara jakarta ulah ahok mayoritas ummat islam gak memusuhi ummat agama point 2 hak menilai agama radikal point 3 tokoh agama apresiasi gubernur dki jakarta anies baswedan bukti gak diskriminasi point 4 selamat natal haram hukumnya agama islam ummat islam selamat merayakan natal point 5 kelompok2 menakutkan kerusuhan 1998 disebabkan ormas islam kesimpulan tuntutan2 ajukan menyimpulkan orang intoleran gak menerima perbedaan,Ideologi,4,1,0,1,4,2,0,45,3,"RT Point 1 Kasus SARA di Jakarta terjadi karena ulah ahok... sebagai mayoritas, ummat Islam gak pernah memusuhi ummat agama lain... Point 2 Apa hak anda menilai agama lain radikal...? Point 3 Berbagai tokoh agama memberikan apresiasi kepada Gubernur DKI Jakarta Anies Baswedan... bukti gak ada diskriminasi... Point 4 Mengucapkan Selamat Natal haram hukumnya dalam agama Islam... makanya ummat Islam selalu mengucapkan selamat merayakan Hari Natal... Point 5 Apa yang dimaksudkan dengan kelompok2 yang menakutkan...? kerusuhan 1998 bukan disebabkan oleh ormas Islam...! Kesimpulan : Melihat tuntutan2 yang anda ajukan, saya menyimpulkan anda adalah orang yang intoleran & gak bisa menerima perbedaan... [RE ferizandra]"
elektabilitas prabowogibran tembus 50 persen survei pemilihan presiden 2024 putaran,Politik,44,7,1,0,0,0,44,0,4,"RT Elektabilitas Prabowo-Gibran tembus 50 persen lebih di beberapa survei. Ada kemungkinan, pemilihan presiden 2024 berlangsung dalam satu putaran. https://t.co/Dj7PQU30UF [RE kompascom]"
harap kedepan tokoh bergabung misi prabowogibran menang 60 jawa barat terwujud menandasi prabowo subianto,Politik,41,2,2,0,0,1,41,8,2,"Kami harap kedepan akan ada semakin banyak tokoh yang bergabung agar misi Prabowo-Gibran Menang Besar 60% di Jawa Barat dapat terwujud,Ã¢Â€Â dia menandasi. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto"
capres no 1 anies baswedan food estate singkong menguntungkan kroni merusak lingkungan menghasilkan diubah,Pertahanan dan Keamanan,0,0,2,0,1,0,33,1,19,"Menurut Capres No 1 Anies Baswedan Food estate singkong yang menguntungkan kroni, merusak lingkungan dan tidak menghasilkan, ini harus diubah. #RezimPerusakLingkungan #AMINAjaDulu @kZomyMteHtOnIY+flFjwJS1tei96EFEqnQy9rOAbI+s= @cm6zQPcpyrmoPSmWK9eSwEihZ3L2zAZtY0uLjOamiA8= https://t.co/RPlmUOZvQk"
cebong nanya program dp 0 bilang ngibul ga kerjalah gada prestasilah janji politik anies 23janji mjd goodbener dkj ditunaikan salah satunya rumah dp 0,Politik,28,4,0,8,1,0,28,13,2,"RT Cebong nanya Program DP 0% di bilang ngibul, ga bisa kerjalah gada prestasilah. Dalam janji politik Pak Anies sebanyak 23janji saat mjd Goodbener DKJ semua ditunaikan salah satunya Rumah DP 0%. #InsyaAllahAniesPresiden Ã¢Â˜ÂÃ¯Â¸Â https://t.co/0f0lcUmQVG [RE Malika6027]"
menikmati fasilitas serba gratis menengah bykan kalangan jkrta mlh ga tau mknya byk dr mrka anies ga bs krja pbb msh byr politik identitas pdhl kalangan menengah bwh anies bnern rangkul krn memanusiakan manusia,Demografi,33,33,0,6,1,1,8,4,3,"RT @04D9CoeRKwKC+uDBeaw7rUFfRGGZoYRdgIRm0m8imFI= Yg menikmati fasilitas umum serba gratis itu kan menengah bawah. Bykan kalangan atas jkrta mlh ga tau, Mknya byk dr mrka anies ga bs krja, pbb msh byr , politik identitas. Pdhl kalangan menengah bwh anies bnern di rangkul krn memanusiakan manusia [RE vifahfaw16]"
pasal karet uu ite ganjar bilang stop definisi diperjelas unsur kesengajaan ancaman hukuman dikurangi mari berkreasi bersembunyi,Politik,24,0,0,14,2,2,24,14,0,"Pasal karet UU ITE? Ganjar bilang STOP! Definisi diperjelas, unsur kesengajaan ditambahkan, ancaman hukuman dikurangi. Mari berkreasi, bukan bersembunyi!#JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat https://t.co/bCFeUTUzwr"
